subjectID,task,number,now,delayed,selected,choice,rt,time_elapsed,attempt
8,MCQ,17,€80 today,€85 in 157 days,€85 in 157 days,wait,6041,5295624,2
8,MCQ,18,€24 today,€35 in 29 days,€35 in 29 days,wait,6017,5301644,2
8,MCQ,19,€33 today,€80 in 14 days,€80 in 14 days,wait,2776,5304423,2
8,MCQ,20,€28 today,€30 in 179 days,€28 today,now,8307,5312733,2
8,MCQ,21,€34 today,€50 in 30 days,€50 in 30 days,wait,5731,5318467,2
8,MCQ,22,€25 today,€30 in 80 days,€30 in 80 days,wait,8884,5327353,2
8,MCQ,23,€41 today,€75 in 20 days,€75 in 20 days,wait,4873,5332228,2
8,MCQ,24,€54 today,€60 in 111 days,€60 in 111 days,wait,15623,5347854,2
8,MCQ,25,€54 today,€80 in 30 days,€80 in 30 days,wait,4863,5352720,2
8,MCQ,26,€22 today,€25 in 136 days,€22 today,now,5260,5357983,2
8,MCQ,27,€20 today,€55 in 7 days,€55 in 7 days,wait,5297,5363283,2
9,MCQ,1,€54 today,€55 in 117 days,€55 in 117 days,wait,9630,3251764,1
9,MCQ,2,€55 today,€75 in 61 days,€75 in 61 days,wait,7063,3258840,1
9,MCQ,3,€19 today,€25 in 53 days,€25 in 53 days,wait,6058,3264903,1
9,MCQ,4,€31 today,€85 in 7 days,€85 in 7 days,wait,3073,3267981,1
9,MCQ,5,€14 today,€25 in 19 days,€25 in 19 days,wait,5996,3273980,1
9,MCQ,6,€47 today,€50 in 160 days,€47 today,now,5578,3279562,1
9,MCQ,7,€15 today,€35 in 13 days,€35 in 13 days,wait,3883,3283454,1
9,MCQ,8,€25 today,€60 in 14 days,€60 in 14 days,wait,2264,3285726,1
9,MCQ,9,€78 today,€80 in 14 days,€80 in 14 days,wait,3651,3289382,1
9,MCQ,10,€40 today,€55 in 62 days,€55 in 62 days,wait,6678,3296064,1
9,MCQ,11,€11 today,€30 in 7 days,€30 in 7 days,wait,2692,3298766,1
9,MCQ,12,€67 today,€75 in 119 days,€67 today,now,6068,3304840,1
9,MCQ,13,€34 today,€35 in 186 days,€34 today,now,3336,3308180,1
9,MCQ,14,€27 today,€50 in 21 days,€50 in 21 days,wait,2635,3310828,1
9,MCQ,15,€69 today,€85 in 91 days,€85 in 91 days,wait,2452,3313284,1
9,MCQ,16,€49 today,€60 in 89 days,€60 in 89 days,wait,3170,3316467,1
9,MCQ,17,€80 today,€85 in 157 days,€80 today,now,3496,3319974,1
9,MCQ,18,€24 today,€35 in 29 days,€35 in 29 days,wait,2305,3322287,1
9,MCQ,19,€33 today,€80 in 14 days,€80 in 14 days,wait,2245,3324537,1
9,MCQ,20,€28 today,€30 in 179 days,€30 in 179 days,wait,2936,3327477,1
9,MCQ,21,€34 today,€50 in 30 days,€50 in 30 days,wait,10770,3338255,1
9,MCQ,22,€25 today,€30 in 80 days,€30 in 80 days,wait,4495,3342759,1
9,MCQ,23,€41 today,€75 in 20 days,€75 in 20 days,wait,2297,3345063,1
9,MCQ,24,€54 today,€60 in 111 days,€54 today,now,3720,3348787,1
9,MCQ,25,€54 today,€80 in 30 days,€80 in 30 days,wait,2843,3351638,1
9,MCQ,26,€22 today,€25 in 136 days,€22 today,now,2969,3354615,1
9,MCQ,27,€20 today,€55 in 7 days,€55 in 7 days,wait,2082,3356701,1
